ncbi_gene_id,gene_symbol,disease_id,relationship
478,ATP1A3,D:10707,associated_with
523,ATP6V1A,D:10707,associated_with
773,CACNA1A,D:10707,associated_with
774,CACNA1B,D:10707,associated_with
781,CACNA2D1,D:10707,associated_with
23097,CDK19,D:10707,associated_with
10659,CELF2,D:10707,associated_with
1213,CLTC,D:10707,associated_with
22866,CNKSR2,D:10707,associated_with
26999,CYFIP2,D:10707,associated_with
55152,DALRD3,D:10707,associated_with
79947,DHDDS,D:10707,associated_with
1759,DNM1,D:10707,associated_with
1917,EEF1A2,D:10707,associated_with
23219,FBXO28,D:10707,associated_with
2257,FGF12,D:10707,associated_with
2290,FOXG1,D:10707,associated_with
51343,FZR1,D:10707,associated_with
9568,GABBR2,D:10707,associated_with
2555,GABRA2,D:10707,associated_with
2558,GABRA5,D:10707,associated_with
2561,GABRB2,D:10707,associated_with
2566,GABRG2,D:10707,associated_with
2906,GRIN2D,D:10707,associated_with
348980,HCN1,D:10707,associated_with
3737,KCNA2,D:10707,associated_with
3745,KCNB1,D:10707,associated_with
3747,KCNC2,D:10707,associated_with
25977,NECAP1,D:10707,associated_with
4915,NTRK2,D:10707,associated_with
116150,NUS1,D:10707,associated_with
23241,PACS2,D:10707,associated_with
25973,PARS2,D:10707,associated_with
5530,PPP3CA,D:10707,associated_with
6323,SCN1A,D:10707,associated_with
6328,SCN3A,D:10707,associated_with
6334,SCN8A,D:10707,associated_with
284111,SLC13A5,D:10707,associated_with
6506,SLC1A2,D:10707,associated_with
10991,SLC38A3,D:10707,associated_with
8831,SYNGAP1,D:10707,associated_with
8867,SYNJ1,D:10707,associated_with
23334,SZT2,D:10707,associated_with
22906,TRAK1,D:10707,associated_with
79876,UBA5,D:10707,associated_with
51741,WWOX,D:10707,associated_with
7532,YWHAG,D:10707,associated_with
86,ACTL6A,D:10709,associated_with
51412,ACTL6B,D:10709,associated_with
22859,ADGRL1,D:10709,associated_with
26523,AGO1,D:10709,associated_with
27161,AGO2,D:10709,associated_with
26057,ANKRD17,D:10709,associated_with
164,AP1G1,D:10709,associated_with
490,ATP2B1,D:10709,associated_with
535,ATP6V0A1,D:10709,associated_with
10079,ATP9A,D:10709,associated_with
8314,BAP1,D:10709,associated_with
54828,BCAS3,D:10709,associated_with
63035,BCORL1,D:10709,associated_with
254065,BRWD3,D:10709,associated_with
775,CACNA1C,D:10709,associated_with
4076,CAPRIN1,D:10709,associated_with
90416,CCDC32,D:10709,associated_with
1024,CDK8,D:10709,associated_with
10087,CERT1,D:10709,associated_with
26038,CHD5,D:10709,associated_with
1182,CLCN3,D:10709,associated_with
4849,CNOT3,D:10709,associated_with
51692,CPSF3,D:10709,associated_with
1457,CSNK2A1,D:10709,associated_with
9646,CTR9,D:10709,associated_with
8452,CUL3,D:10709,associated_with
1656,DDX6,D:10709,associated_with
1742,DLG4,D:10709,associated_with
1795,DOCK3,D:10709,associated_with
83475,DOHH,D:10709,associated_with
56896,DPYSL5,D:10709,associated_with
253738,EBF3,D:10709,associated_with
80267,EDEM3,D:10709,associated_with
1974,EIF4A2,D:10709,associated_with
1984,EIF5A,D:10709,associated_with
284361,EMC10,D:10709,associated_with
9130,FAM50A,D:10709,associated_with
23291,FBXW11,D:10709,associated_with
2783,GNB2,D:10709,associated_with
2893,GRIA4,D:10709,associated_with
8364,H4C3,D:10709,associated_with
8367,H4C5,D:10709,associated_with
8294,H4C9,D:10709,associated_with
3183,HNRNPC,D:10709,associated_with
84842,HPDL,D:10709,associated_with
9653,HS2ST1,D:10709,associated_with
3064,HTT,D:10709,associated_with
10075,HUWE1,D:10709,associated_with
3720,JARID2,D:10709,associated_with
84148,KAT8,D:10709,associated_with
23030,KDM4B,D:10709,associated_with
9757,KMT2B,D:10709,associated_with
